tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170620_2169_1035233,Armitage & Kolmar,4600 W Armitage,1,22.73,0.0,409.53
20170621_2169_1035237,Armitage & Kolmar,4600 W Armitage,2,5.55,0.58,25.08
20170621_2169_1035238,Armitage & Kolmar,4600 W Armitage,2,5.97,0.42,30.83
20170621_2169_1035166,Armitage & Kolmar,4600 W Armitage,2,6.48,0.0,6.55
20170621_2169_1035167,Armitage & Kolmar,4600 W Armitage,2,6.6,0.55,17.15
20170621_2169_1035165,Armitage & Kolmar,4600 W Armitage,2,6.88,0.0,12.58
20170621_2169_1035177,Armitage & Kolmar,4600 W Armitage,2,7.08,0.0,19.27
20170621_2169_1035171,Armitage & Kolmar,4600 W Armitage,2,7.42,0.0,13.68
20170621_2169_1035183,Armitage & Kolmar,4600 W Armitage,2,7.63,0.65,19.65
20170621_2169_1035174,Armitage & Kolmar,4600 W Armitage,2,7.97,3.3,7.3
20170621_2169_1035188,Armitage & Kolmar,4600 W Armitage,2,8.08,0.35,6.83
20170621_2169_1035185,Armitage & Kolmar,4600 W Armitage,2,8.2,0.55,8.98
20170621_2169_1035173,Armitage & Kolmar,4600 W Armitage,2,8.35,0.0,8.3
20170621_2169_116123172,Armitage & Kolmar,4600 W Armitage,2,8.48,0.0,6.6
20170621_2169_1035182,Armitage & Kolmar,4600 W Armitage,2,8.6,0.63,6.43
20170621_2169_1035184,Armitage & Kolmar,4600 W Armitage,2,8.7,0.67,8.62
20170621_2169_1035179,Armitage & Kolmar,4600 W Armitage,2,8.85,0.0,20.63
20170621_2169_1035172,Armitage & Kolmar,4600 W Armitage,2,9.2,7.05,11.43
20170621_2169_1035187,Armitage & Kolmar,4600 W Armitage,2,9.38,0.52,8.55
20170621_2169_1035176,Armitage & Kolmar,4600 W Armitage,2,9.53,0.43,5.52
20170621_2169_1035168,Armitage & Kolmar,4600 W Armitage,2,9.62,7.25,20.52
20170621_2169_1035180,Armitage & Kolmar,4600 W Armitage,2,9.97,0.0,16.63
20170621_2169_1035181,Armitage & Kolmar,4600 W Armitage,2,10.23,9.9,2.67
20170621_2169_1035178,Armitage & Kolmar,4600 W Armitage,2,10.28,0.5,37.43
20170621_2169_1035175,Armitage & Kolmar,4600 W Armitage,2,10.9,0.9,1.35
20170621_2169_1035189,Armitage & Kolmar,4600 W Armitage,2,10.93,0.5,10.68
20170621_2169_1035169,Armitage & Kolmar,4600 W Armitage,2,11.1,0.0,17.82
20170621_2169_1035201,Armitage & Kolmar,4600 W Armitage,2,11.4,1.05,31.38
20170621_2169_1035199,Armitage & Kolmar,4600 W Armitage,2,11.93,0.0,6.07
20170621_2169_1035196,Armitage & Kolmar,4600 W Armitage,2,12.03,0.52,18.4
20170621_2169_1035198,Armitage & Kolmar,4600 W Armitage,2,12.33,0.0,25.83
20170621_2169_1035193,Armitage & Kolmar,4600 W Armitage,2,12.77,0.0,8.15
20170621_2169_1035195,Armitage & Kolmar,4600 W Armitage,2,12.9,0.48,48.15
20170621_2169_1035190,Armitage & Kolmar,4600 W Armitage,2,13.7,0.4,9.88
20170621_2169_1035192,Armitage & Kolmar,4600 W Armitage,2,13.87,0.0,26.17
20170621_2169_1035191,Armitage & Kolmar,4600 W Armitage,2,14.3,0.42,6.88
20170621_2169_1035197,Armitage & Kolmar,4600 W Armitage,2,14.42,1.52,29.77
20170621_2169_1035200,Armitage & Kolmar,4600 W Armitage,2,14.92,0.0,2.38
20170621_2169_1035205,Armitage & Kolmar,4600 W Armitage,2,14.95,0.42,18.22
20170621_2169_1035202,Armitage & Kolmar,4600 W Armitage,2,15.27,0.67,22.12
20170621_2169_1035206,Armitage & Kolmar,4600 W Armitage,2,15.63,0.0,6.57
20170621_2169_1035203,Armitage & Kolmar,4600 W Armitage,2,15.73,0.0,17.82
20170621_2169_1035207,Armitage & Kolmar,4600 W Armitage,2,16.03,0.7,9.98
20170621_2169_1035208,Armitage & Kolmar,4600 W Armitage,2,16.2,0.0,2.53
20170621_2169_1035204,Armitage & Kolmar,4600 W Armitage,2,16.25,0.5,15.92
20170621_2169_1035211,Armitage & Kolmar,4600 W Armitage,2,16.52,0.0,3.43
20170621_2169_1035210,Armitage & Kolmar,4600 W Armitage,2,16.57,7.8,25.67
20170621_2169_1035209,Armitage & Kolmar,4600 W Armitage,2,17.0,0.73,26.72
20170621_2169_1035218,Armitage & Kolmar,4600 W Armitage,2,17.43,0.32,4.88
20170621_2169_116123215,Armitage & Kolmar,4600 W Armitage,2,17.52,0.0,9.03
20170621_2169_1035217,Armitage & Kolmar,4600 W Armitage,2,17.67,0.0,10.43
20170621_2169_1035215,Armitage & Kolmar,4600 W Armitage,2,17.85,0.0,23.85
20170621_2169_1035220,Armitage & Kolmar,4600 W Armitage,2,18.25,0.0,1.28
20170621_2169_1035216,Armitage & Kolmar,4600 W Armitage,2,18.27,9.9,13.65
20170621_2169_1035214,Armitage & Kolmar,4600 W Armitage,2,18.48,0.0,32.77
20170621_2169_1035213,Armitage & Kolmar,4600 W Armitage,2,19.03,0.55,7.67
20170621_2169_1035221,Armitage & Kolmar,4600 W Armitage,2,19.17,0.0,15.07
20170621_2169_1035222,Armitage & Kolmar,4600 W Armitage,2,19.42,0.5,10.23
20170621_2169_1035223,Armitage & Kolmar,4600 W Armitage,2,19.58,0.0,15.75
20170621_2169_1035224,Armitage & Kolmar,4600 W Armitage,2,19.85,0.0,20.63
20170621_2169_1035225,Armitage & Kolmar,4600 W Armitage,2,20.2,0.48,25.73
20170621_2169_1035226,Armitage & Kolmar,4600 W Armitage,2,20.62,0.0,13.25
20170621_2169_1035227,Armitage & Kolmar,4600 W Armitage,2,20.85,0.0,18.98
20170621_2169_1035228,Armitage & Kolmar,4600 W Armitage,2,21.17,0.0,17.58
20170621_2169_1035229,Armitage & Kolmar,4600 W Armitage,2,21.45,1.02,25.33
20170621_2169_1035230,Armitage & Kolmar,4600 W Armitage,2,21.87,0.48,18.57
20170621_2169_1035231,Armitage & Kolmar,4600 W Armitage,2,22.18,0.35,19.23
20170621_2169_1035232,Armitage & Kolmar,4600 W Armitage,2,22.5,0.52,18.4
20170621_2169_1035233,Armitage & Kolmar,4600 W Armitage,2,22.82,0.68,404.77
20170622_2169_1035237,Armitage & Kolmar,4600 W Armitage,3,5.55,0.0,23.23
20170622_2169_1035238,Armitage & Kolmar,4600 W Armitage,3,5.95,0.52,19.45
20170622_2169_1035166,Armitage & Kolmar,4600 W Armitage,3,6.27,0.48,19.47
20170622_2169_1035167,Armitage & Kolmar,4600 W Armitage,3,6.6,0.0,13.67
20170622_2169_1035165,Armitage & Kolmar,4600 W Armitage,3,6.82,0.0,17.38
20170622_2169_1035177,Armitage & Kolmar,4600 W Armitage,3,7.12,1.13,20.78
20170622_2169_1035171,Armitage & Kolmar,4600 W Armitage,3,7.45,0.0,11.52
20170622_2169_1035183,Armitage & Kolmar,4600 W Armitage,3,7.65,0.58,15.38
20170622_2169_1035174,Armitage & Kolmar,4600 W Armitage,3,7.9,0.0,6.93
20170622_2169_1035188,Armitage & Kolmar,4600 W Armitage,3,8.02,0.53,0.87
20170622_2169_1035185,Armitage & Kolmar,4600 W Armitage,3,8.03,0.0,20.12
20170622_2169_1035173,Armitage & Kolmar,4600 W Armitage,3,8.37,0.0,6.4
20170622_2169_116123172,Armitage & Kolmar,4600 W Armitage,3,8.48,0.65,7.37
20170622_2169_1035182,Armitage & Kolmar,4600 W Armitage,3,8.6,0.52,5.27
20170622_2169_1035184,Armitage & Kolmar,4600 W Armitage,3,8.68,0.0,10.87
20170622_2169_1035179,Armitage & Kolmar,4600 W Armitage,3,8.87,0.52,5.15
20170622_2169_1035172,Armitage & Kolmar,4600 W Armitage,3,8.95,0.47,24.57
20170622_2169_1035187,Armitage & Kolmar,4600 W Armitage,3,9.37,0.0,8.52
20170622_2169_1035176,Armitage & Kolmar,4600 W Armitage,3,9.5,0.57,9.82
20170622_2169_1035180,Armitage & Kolmar,4600 W Armitage,3,9.67,0.0,7.45
20170622_2169_1035168,Armitage & Kolmar,4600 W Armitage,3,9.8,9.9,26.85
20170622_2169_1035181,Armitage & Kolmar,4600 W Armitage,3,10.23,7.4,37.8
20170622_2169_1035175,Armitage & Kolmar,4600 W Armitage,3,10.87,0.48,1.48
20170622_2169_1035189,Armitage & Kolmar,4600 W Armitage,3,10.9,0.18,13.7
20170622_2169_1035169,Armitage & Kolmar,4600 W Armitage,3,11.12,0.0,20.75
20170622_2169_1035201,Armitage & Kolmar,4600 W Armitage,3,11.47,0.48,20.4
20170622_2169_1035199,Armitage & Kolmar,4600 W Armitage,3,11.82,0.43,10.05
20170622_2169_1035196,Armitage & Kolmar,4600 W Armitage,3,11.98,0.0,18.3
20170622_2169_1035198,Armitage & Kolmar,4600 W Armitage,3,12.28,1.3,32.1
20170622_2169_1035193,Armitage & Kolmar,4600 W Armitage,3,12.82,0.82,5.95
20170622_2169_1035195,Armitage & Kolmar,4600 W Armitage,3,12.92,0.0,27.52
20170622_2169_1035194,Armitage & Kolmar,4600 W Armitage,3,13.38,0.0,10.12
20170622_2169_1035190,Armitage & Kolmar,4600 W Armitage,3,13.55,0.52,35.38
20170622_2169_1035191,Armitage & Kolmar,4600 W Armitage,3,14.13,0.0,17.12
20170622_2169_1035192,Armitage & Kolmar,4600 W Armitage,3,14.42,0.0,11.23
20170622_2169_1035197,Armitage & Kolmar,4600 W Armitage,3,14.6,0.0,21.52
20170622_2169_1035205,Armitage & Kolmar,4600 W Armitage,3,14.97,1.88,3.53
20170622_2169_1035200,Armitage & Kolmar,4600 W Armitage,3,15.02,0.0,24.98
20170622_2169_1035202,Armitage & Kolmar,4600 W Armitage,3,15.43,1.03,4.33
20170622_2169_1035206,Armitage & Kolmar,4600 W Armitage,3,15.52,0.0,19.53
20170622_2169_1035203,Armitage & Kolmar,4600 W Armitage,3,15.83,0.7,13.17
20170622_2169_1035207,Armitage & Kolmar,4600 W Armitage,3,16.05,0.0,10.03
20170622_2169_1035208,Armitage & Kolmar,4600 W Armitage,3,16.22,0.0,5.43
20170622_2169_1035204,Armitage & Kolmar,4600 W Armitage,3,16.32,0.0,13.55
20170622_2169_1035211,Armitage & Kolmar,4600 W Armitage,3,16.53,0.0,8.12
20170622_2169_1035210,Armitage & Kolmar,4600 W Armitage,3,16.68,7.0,25.28
20170622_2169_1035209,Armitage & Kolmar,4600 W Armitage,3,17.1,0.0,11.52
20170622_2169_1035219,Armitage & Kolmar,4600 W Armitage,3,17.28,0.0,1.73
20170622_2169_1035218,Armitage & Kolmar,4600 W Armitage,3,17.32,0.72,15.85
20170622_2169_116123215,Armitage & Kolmar,4600 W Armitage,3,17.58,0.0,15.02
20170622_2169_1035217,Armitage & Kolmar,4600 W Armitage,3,17.83,0.0,4.08
20170622_2169_1035215,Armitage & Kolmar,4600 W Armitage,3,17.9,1.57,18.08
20170622_2169_1035220,Armitage & Kolmar,4600 W Armitage,3,18.2,0.48,7.63
20170622_2169_1035214,Armitage & Kolmar,4600 W Armitage,3,18.33,0.8,16.32
20170622_2169_1035216,Armitage & Kolmar,4600 W Armitage,3,18.6,2.43,21.47
20170622_2169_1035213,Armitage & Kolmar,4600 W Armitage,3,18.97,0.0,9.77
20170622_2169_1035221,Armitage & Kolmar,4600 W Armitage,3,19.12,0.0,14.0
20170622_2169_1035222,Armitage & Kolmar,4600 W Armitage,3,19.35,0.0,15.32
20170622_2169_1035223,Armitage & Kolmar,4600 W Armitage,3,19.62,0.48,11.95
20170622_2169_1035224,Armitage & Kolmar,4600 W Armitage,3,19.82,0.5,25.93
20170622_2169_1035225,Armitage & Kolmar,4600 W Armitage,3,20.25,0.53,18.43
20170622_2169_1035226,Armitage & Kolmar,4600 W Armitage,3,20.55,0.5,18.37
20170622_2169_1035227,Armitage & Kolmar,4600 W Armitage,3,20.85,0.75,16.83
20170622_2169_1035228,Armitage & Kolmar,4600 W Armitage,3,21.13,0.0,18.95
20170622_2169_1035229,Armitage & Kolmar,4600 W Armitage,3,21.45,0.0,25.28
20170622_2169_1035230,Armitage & Kolmar,4600 W Armitage,3,21.87,0.0,14.82
20170622_2169_1035231,Armitage & Kolmar,4600 W Armitage,3,22.12,0.48,18.73
20170622_2169_1035232,Armitage & Kolmar,4600 W Armitage,3,22.43,0.0,21.75
20170622_2169_1035233,Armitage & Kolmar,4600 W Armitage,3,22.8,0.42,408.48
20170623_2169_1035237,Armitage & Kolmar,4600 W Armitage,4,5.6,0.0,22.3
20170623_2169_1035238,Armitage & Kolmar,4600 W Armitage,4,5.97,0.48,20.63
20170623_2169_1035166,Armitage & Kolmar,4600 W Armitage,4,6.32,0.47,17.93
20170623_2169_1035167,Armitage & Kolmar,4600 W Armitage,4,6.62,0.0,14.48
20170623_2169_1035165,Armitage & Kolmar,4600 W Armitage,4,6.87,0.52,15.87
20170623_2169_1035177,Armitage & Kolmar,4600 W Armitage,4,7.12,0.62,20.35
20170623_2169_1035171,Armitage & Kolmar,4600 W Armitage,4,7.47,0.0,14.62
20170623_2169_1035183,Armitage & Kolmar,4600 W Armitage,4,7.7,0.0,10.88
20170623_2169_1035174,Armitage & Kolmar,4600 W Armitage,4,7.88,1.15,11.1
20170623_2169_1035188,Armitage & Kolmar,4600 W Armitage,4,8.07,0.0,8.87
20170623_2169_1035185,Armitage & Kolmar,4600 W Armitage,4,8.22,0.0,8.55
20170623_2169_1035173,Armitage & Kolmar,4600 W Armitage,4,8.37,0.45,6.23
20170623_2169_116123172,Armitage & Kolmar,4600 W Armitage,4,8.47,0.63,9.38
20170623_2169_1035182,Armitage & Kolmar,4600 W Armitage,4,8.62,0.85,3.63
20170623_2169_1035184,Armitage & Kolmar,4600 W Armitage,4,8.68,0.58,9.5
20170623_2169_1035179,Armitage & Kolmar,4600 W Armitage,4,8.85,0.0,0.27
20170623_2169_1035172,Armitage & Kolmar,4600 W Armitage,4,8.85,15.47,31.5
20170623_2169_1035187,Armitage & Kolmar,4600 W Armitage,4,9.37,0.87,8.5
20170623_2169_1035176,Armitage & Kolmar,4600 W Armitage,4,9.52,0.0,4.23
20170623_2169_1035168,Armitage & Kolmar,4600 W Armitage,4,9.58,9.9,34.83
20170623_2169_1035180,Armitage & Kolmar,4600 W Armitage,4,10.17,0.0,0.37
20170623_2169_1035178,Armitage & Kolmar,4600 W Armitage,4,10.17,0.0,16.87
20170623_2169_1035181,Armitage & Kolmar,4600 W Armitage,4,10.45,9.9,10.82
20170623_2169_1035175,Armitage & Kolmar,4600 W Armitage,4,10.63,0.57,14.62
20170623_2169_1035189,Armitage & Kolmar,4600 W Armitage,4,10.88,1.13,14.68
20170623_2169_1035169,Armitage & Kolmar,4600 W Armitage,4,11.12,0.42,31.48
20170623_2169_1035201,Armitage & Kolmar,4600 W Armitage,4,11.65,0.0,4.77
20170623_2169_1035199,Armitage & Kolmar,4600 W Armitage,4,11.72,1.08,30.88
20170623_2169_1035196,Armitage & Kolmar,4600 W Armitage,4,12.23,0.0,0.4
20170623_2169_1035198,Armitage & Kolmar,4600 W Armitage,4,12.25,0.0,30.8
20170623_2169_1035193,Armitage & Kolmar,4600 W Armitage,4,12.77,0.0,8.88
20170623_2169_1035195,Armitage & Kolmar,4600 W Armitage,4,12.9,0.0,21.25
20170623_2169_1035194,Armitage & Kolmar,4600 W Armitage,4,13.27,0.48,23.83
20170623_2169_1035190,Armitage & Kolmar,4600 W Armitage,4,13.67,0.0,28.63
20170623_2169_1035191,Armitage & Kolmar,4600 W Armitage,4,14.13,0.57,2.1
20170623_2169_1035192,Armitage & Kolmar,4600 W Armitage,4,14.17,0.42,23.98
20170623_2169_1035197,Armitage & Kolmar,4600 W Armitage,4,14.57,0.42,10.75
20170623_2169_1035200,Armitage & Kolmar,4600 W Armitage,4,14.75,0.0,20.65
20170623_2169_1035205,Armitage & Kolmar,4600 W Armitage,4,15.1,0.53,11.83
20170623_2169_1035202,Armitage & Kolmar,4600 W Armitage,4,15.28,0.0,19.02
20170623_2169_1035206,Armitage & Kolmar,4600 W Armitage,4,15.6,0.0,28.6
20170623_2169_1035203,Armitage & Kolmar,4600 W Armitage,4,16.08,0.0,1.1
20170623_2169_1035207,Armitage & Kolmar,4600 W Armitage,4,16.1,0.48,11.88
20170623_2169_1035208,Armitage & Kolmar,4600 W Armitage,4,16.3,0.0,7.73
20170623_2169_1035204,Armitage & Kolmar,4600 W Armitage,4,16.43,0.72,1.7
20170623_2169_1035211,Armitage & Kolmar,4600 W Armitage,4,16.45,0.0,8.93
20170623_2169_1035210,Armitage & Kolmar,4600 W Armitage,4,16.6,9.9,20.62
20170623_2169_1035209,Armitage & Kolmar,4600 W Armitage,4,16.95,0.0,21.38
20170623_2169_1035219,Armitage & Kolmar,4600 W Armitage,4,17.3,0.0,5.87
20170623_2169_1035218,Armitage & Kolmar,4600 W Armitage,4,17.4,0.5,13.1
20170623_2169_116123215,Armitage & Kolmar,4600 W Armitage,4,17.62,0.68,14.52
20170623_2169_1035217,Armitage & Kolmar,4600 W Armitage,4,17.87,0.0,5.85
20170623_2169_1035215,Armitage & Kolmar,4600 W Armitage,4,17.97,0.0,21.97
20170623_2169_1035214,Armitage & Kolmar,4600 W Armitage,4,18.33,0.0,18.98
20170623_2169_1035216,Armitage & Kolmar,4600 W Armitage,4,18.65,3.05,7.7
20170623_2169_1035213,Armitage & Kolmar,4600 W Armitage,4,18.77,0.68,29.58
20170623_2169_1035221,Armitage & Kolmar,4600 W Armitage,4,19.27,0.0,0.88
20170623_2169_1035222,Armitage & Kolmar,4600 W Armitage,4,19.28,0.0,23.62
20170623_2169_1035223,Armitage & Kolmar,4600 W Armitage,4,19.67,0.0,9.2
20170623_2169_1035224,Armitage & Kolmar,4600 W Armitage,4,19.83,0.0,23.5
20170623_2169_1035225,Armitage & Kolmar,4600 W Armitage,4,20.22,0.45,24.9
20170623_2169_1035226,Armitage & Kolmar,4600 W Armitage,4,20.63,0.53,13.63
20170623_2169_1035227,Armitage & Kolmar,4600 W Armitage,4,20.87,0.0,21.48
20170623_2169_1035228,Armitage & Kolmar,4600 W Armitage,4,21.22,0.95,14.68
20170623_2169_1035229,Armitage & Kolmar,4600 W Armitage,4,21.47,0.0,21.05
20170623_2169_1035230,Armitage & Kolmar,4600 W Armitage,4,21.82,1.3,26.65
20170623_2169_1035231,Armitage & Kolmar,4600 W Armitage,4,22.27,0.5,18.37
20170623_2169_1035232,Armitage & Kolmar,4600 W Armitage,4,22.57,0.0,11.83
20170623_2169_1035233,Armitage & Kolmar,4600 W Armitage,4,22.77,0.0,465.33
20170624_2169_2,Armitage & Kolmar,4600 W Armitage,5,6.52,0.0,23.73
20170624_2169_101581,Armitage & Kolmar,4600 W Armitage,5,6.92,0.0,17.9
20170624_2169_101583,Armitage & Kolmar,4600 W Armitage,5,7.22,0.52,21.87
20170624_2169_101584,Armitage & Kolmar,4600 W Armitage,5,7.58,0.43,19.43
20170624_2169_101585,Armitage & Kolmar,4600 W Armitage,5,7.9,0.47,21.65
20170624_2169_101587,Armitage & Kolmar,4600 W Armitage,5,8.27,0.0,19.35
20170624_2169_101588,Armitage & Kolmar,4600 W Armitage,5,8.58,0.62,21.85
20170624_2169_101589,Armitage & Kolmar,4600 W Armitage,5,8.95,0.0,19.53
20170624_2169_101591,Armitage & Kolmar,4600 W Armitage,5,9.27,0.0,23.77
20170624_2169_101592,Armitage & Kolmar,4600 W Armitage,5,9.67,0.47,14.2
20170624_2169_101593,Armitage & Kolmar,4600 W Armitage,5,9.9,0.52,21.77
20170624_2169_101594,Armitage & Kolmar,4600 W Armitage,5,10.27,0.0,17.18
20170624_2169_101595,Armitage & Kolmar,4600 W Armitage,5,10.55,0.0,29.78
20170624_2169_101596,Armitage & Kolmar,4600 W Armitage,5,11.05,0.28,7.58
20170624_2169_101597,Armitage & Kolmar,4600 W Armitage,5,11.18,0.97,13.92
20170624_2169_101598,Armitage & Kolmar,4600 W Armitage,5,11.42,0.0,29.47
20170624_2169_101600,Armitage & Kolmar,4600 W Armitage,5,11.9,0.0,19.38
20170624_2169_101601,Armitage & Kolmar,4600 W Armitage,5,12.22,0.0,10.33
20170624_2169_101602,Armitage & Kolmar,4600 W Armitage,5,12.4,0.0,30.28
20170624_2169_101603,Armitage & Kolmar,4600 W Armitage,5,12.9,0.45,15.85
20170624_2169_101605,Armitage & Kolmar,4600 W Armitage,5,13.17,0.0,10.03
20170624_2169_101606,Armitage & Kolmar,4600 W Armitage,5,13.33,0.0,22.87
20170624_2169_101607,Armitage & Kolmar,4600 W Armitage,5,13.72,0.0,13.93
20170624_2169_101608,Armitage & Kolmar,4600 W Armitage,5,13.95,0.0,13.28
20170624_2169_101609,Armitage & Kolmar,4600 W Armitage,5,14.17,0.0,18.73
20170624_2169_101610,Armitage & Kolmar,4600 W Armitage,5,14.48,0.53,19.05
20170624_2169_101611,Armitage & Kolmar,4600 W Armitage,5,14.8,0.0,18.5
20170624_2169_101612,Armitage & Kolmar,4600 W Armitage,5,15.1,0.0,19.78
20170624_2169_101613,Armitage & Kolmar,4600 W Armitage,5,15.43,0.5,20.2
20170624_2169_101614,Armitage & Kolmar,4600 W Armitage,5,15.77,0.43,13.13
20170624_2169_101615,Armitage & Kolmar,4600 W Armitage,5,15.98,0.5,26.0
20170624_2169_101616,Armitage & Kolmar,4600 W Armitage,5,16.42,0.5,16.38
20170624_2169_101617,Armitage & Kolmar,4600 W Armitage,5,16.7,0.0,25.03
20170624_2169_101618,Armitage & Kolmar,4600 W Armitage,5,17.12,0.0,4.07
20170624_2169_101619,Armitage & Kolmar,4600 W Armitage,5,17.18,0.5,20.0
20170624_2169_101620,Armitage & Kolmar,4600 W Armitage,5,17.52,0.0,24.27
20170624_2169_101621,Armitage & Kolmar,4600 W Armitage,5,17.92,0.43,30.08
20170624_2169_101622,Armitage & Kolmar,4600 W Armitage,5,18.42,0.0,17.42
20170624_2169_101624,Armitage & Kolmar,4600 W Armitage,5,18.72,0.0,0.22
20170624_2169_101623,Armitage & Kolmar,4600 W Armitage,5,18.72,0.55,21.67
20170624_2169_101625,Armitage & Kolmar,4600 W Armitage,5,19.08,0.45,20.97
20170624_2169_101626,Armitage & Kolmar,4600 W Armitage,5,19.43,0.0,723.88
20170625_2169_1042203,Armitage & Kolmar,4600 W Armitage,6,7.48,0.35,19.52
20170625_2169_1042202,Armitage & Kolmar,4600 W Armitage,6,7.82,0.0,21.4
20170625_2169_1042200,Armitage & Kolmar,4600 W Armitage,6,8.17,0.0,23.82
20170625_2169_1042201,Armitage & Kolmar,4600 W Armitage,6,8.57,0.0,16.55
20170625_2169_1042194,Armitage & Kolmar,4600 W Armitage,6,8.85,0.0,17.07
20170625_2169_1042195,Armitage & Kolmar,4600 W Armitage,6,9.13,0.65,26.98
20170625_2169_1042197,Armitage & Kolmar,4600 W Armitage,6,9.58,0.0,18.5
20170625_2169_1042199,Armitage & Kolmar,4600 W Armitage,6,9.88,0.0,20.48
20170625_2169_1042196,Armitage & Kolmar,4600 W Armitage,6,10.23,0.0,19.78
20170625_2169_1042198,Armitage & Kolmar,4600 W Armitage,6,10.57,0.0,34.42
20170625_2169_1042193,Armitage & Kolmar,4600 W Armitage,6,11.13,0.48,9.0
20170625_2169_1042189,Armitage & Kolmar,4600 W Armitage,6,11.28,0.0,37.75
20170625_2169_1042167,Armitage & Kolmar,4600 W Armitage,6,11.92,0.55,4.23
20170625_2169_1042181,Armitage & Kolmar,4600 W Armitage,6,11.98,0.45,18.78
20170625_2169_1042178,Armitage & Kolmar,4600 W Armitage,6,12.3,0.43,22.67
20170625_2169_1042174,Armitage & Kolmar,4600 W Armitage,6,12.67,0.55,27.35
20170625_2169_1042165,Armitage & Kolmar,4600 W Armitage,6,13.13,0.0,5.73
20170625_2169_1042173,Armitage & Kolmar,4600 W Armitage,6,13.22,0.0,18.6
20170625_2169_1042180,Armitage & Kolmar,4600 W Armitage,6,13.53,0.75,17.88
20170625_2169_1042170,Armitage & Kolmar,4600 W Armitage,6,13.83,0.0,16.77
20170625_2169_1042185,Armitage & Kolmar,4600 W Armitage,6,14.12,0.0,18.6
20170625_2169_1042175,Armitage & Kolmar,4600 W Armitage,6,14.42,0.52,20.4
20170625_2169_1042168,Armitage & Kolmar,4600 W Armitage,6,14.77,0.0,18.65
20170625_2169_1042187,Armitage & Kolmar,4600 W Armitage,6,15.07,0.42,47.42
20170625_2169_1042166,Armitage & Kolmar,4600 W Armitage,6,15.87,0.52,0.18
20170625_2169_1042188,Armitage & Kolmar,4600 W Armitage,6,15.87,1.37,9.58
20170625_2169_1042186,Armitage & Kolmar,4600 W Armitage,6,16.03,0.0,35.85
20170625_2169_1042177,Armitage & Kolmar,4600 W Armitage,6,16.62,0.38,14.45
20170625_2169_1042191,Armitage & Kolmar,4600 W Armitage,6,16.87,0.0,20.37
20170625_2169_1042171,Armitage & Kolmar,4600 W Armitage,6,17.2,0.48,17.95
20170625_2169_1042179,Armitage & Kolmar,4600 W Armitage,6,17.5,0.0,16.5
20170625_2169_1042182,Armitage & Kolmar,4600 W Armitage,6,17.78,0.0,23.55
20170625_2169_1042184,Armitage & Kolmar,4600 W Armitage,6,18.17,0.0,20.07
20170625_2169_1042172,Armitage & Kolmar,4600 W Armitage,6,18.5,0.0,18.93
20170625_2169_1042190,Armitage & Kolmar,4600 W Armitage,6,18.82,0.72,18.13
20170625_2169_1042176,Armitage & Kolmar,4600 W Armitage,6,19.12,0.0,20.88
20170625_2169_1042192,Armitage & Kolmar,4600 W Armitage,6,19.47,14.7,0.93
20170625_2169_1042183,Armitage & Kolmar,4600 W Armitage,6,19.48,1.57,627.57
20170626_2169_1035238,Armitage & Kolmar,4600 W Armitage,0,5.95,0.0,21.28
20170626_2169_1035166,Armitage & Kolmar,4600 W Armitage,0,6.3,0.0,18.83
20170626_2169_1035167,Armitage & Kolmar,4600 W Armitage,0,6.62,0.5,16.6
20170626_2169_1035165,Armitage & Kolmar,4600 W Armitage,0,6.88,0.0,33.05
20170626_2169_1035171,Armitage & Kolmar,4600 W Armitage,0,7.45,1.25,18.22
20170626_2169_1035183,Armitage & Kolmar,4600 W Armitage,0,7.75,0.0,11.12
20170626_2169_1035174,Armitage & Kolmar,4600 W Armitage,0,7.93,0.0,9.62
20170626_2169_1035188,Armitage & Kolmar,4600 W Armitage,0,8.08,0.0,8.22
20170626_2169_1035185,Armitage & Kolmar,4600 W Armitage,0,8.23,0.6,8.9
20170626_2169_1035173,Armitage & Kolmar,4600 W Armitage,0,8.38,0.0,7.28
20170626_2169_116123172,Armitage & Kolmar,4600 W Armitage,0,8.5,0.0,8.43
20170626_2169_1035182,Armitage & Kolmar,4600 W Armitage,0,8.63,0.6,4.02
20170626_2169_1035184,Armitage & Kolmar,4600 W Armitage,0,8.7,0.0,8.92
20170626_2169_1035179,Armitage & Kolmar,4600 W Armitage,0,8.85,0.0,17.75
20170626_2169_1035172,Armitage & Kolmar,4600 W Armitage,0,9.15,9.9,12.5
20170626_2169_1035187,Armitage & Kolmar,4600 W Armitage,0,9.35,0.0,7.75
20170626_2169_1035176,Armitage & Kolmar,4600 W Armitage,0,9.48,0.0,21.92
20170626_2169_1035168,Armitage & Kolmar,4600 W Armitage,0,9.85,13.65,17.9
20170626_2169_1035180,Armitage & Kolmar,4600 W Armitage,0,10.15,0.0,6.45
20170626_2169_1035178,Armitage & Kolmar,4600 W Armitage,0,10.27,0.0,5.55
20170626_2169_1035181,Armitage & Kolmar,4600 W Armitage,0,10.35,0.43,18.47
20170626_2169_1035175,Armitage & Kolmar,4600 W Armitage,0,10.67,0.57,27.8
20170626_2169_1035169,Armitage & Kolmar,4600 W Armitage,0,11.12,0.0,0.53
20170626_2169_1035189,Armitage & Kolmar,4600 W Armitage,0,11.13,0.48,15.08
