tripid,start,stop,day_of_week,decimal_time,travel_time,wait_time
20170130_5424_204181,Woodlawn,LakePark,0,19.28,2.02,2.97
20170130_5424_204182,Woodlawn,LakePark,0,19.33,2.12,10.98
20170130_5424_204183,Woodlawn,LakePark,0,19.52,3.1,11.4
20170130_5424_204184,Woodlawn,LakePark,0,19.7,1.45,16.7
20170130_5424_204185,Woodlawn,LakePark,0,19.98,2.0,9.07
20170130_5424_204186,Woodlawn,LakePark,0,20.13,2.3,22.42
20170130_5424_204187,Woodlawn,LakePark,0,20.5,1.05,10.08
20170130_5424_204188,Woodlawn,LakePark,0,20.67,1.65,13.2
20170130_5424_204189,Woodlawn,LakePark,0,20.88,1.1,17.62
20170130_5424_204190,Woodlawn,LakePark,0,21.18,2.55,11.05
20170130_5424_204191,Woodlawn,LakePark,0,21.37,2.63,16.47
20170130_5424_204192,Woodlawn,LakePark,0,21.65,1.63,13.93
20170130_5424_204193,Woodlawn,LakePark,0,21.87,1.58,15.0
20170130_5424_204194,Woodlawn,LakePark,0,22.12,2.1,19.8
20170130_5424_204195,Woodlawn,LakePark,0,22.45,1.83,10.17
20170130_5424_204196,Woodlawn,LakePark,0,22.62,2.3,15.63
20170130_5424_204197,Woodlawn,LakePark,0,22.88,1.5,15.7
20170130_5424_204198,Woodlawn,LakePark,0,23.15,0.0,11.65
20170130_5424_204199,Woodlawn,LakePark,0,23.33,2.02,12.25
20170130_5424_204200,Woodlawn,LakePark,0,23.55,9.0,20.47
20170130_5424_204201,Woodlawn,LakePark,0,23.88,1.3,13.93
20170130_5424_204202,Woodlawn,LakePark,0,0.12,2.03,16.5
20170130_5424_204203,Woodlawn,LakePark,0,0.4,1.47,20.13
20170131_5424_204204,Woodlawn,LakePark,0,0.73,3.33,25.48
20170131_5424_204205,Woodlawn,LakePark,0,1.15,1.82,28.45
20170131_5424_204206,Woodlawn,LakePark,0,1.63,1.93,26.12
20170131_5424_204207,Woodlawn,LakePark,0,2.07,0.0,32.93
20170131_5424_204208,Woodlawn,LakePark,0,2.62,1.68,25.6
20170131_1300_204209,Woodlawn,LakePark,1,3.03,1.77,31.27
20170131_1300_1,Woodlawn,LakePark,1,3.57,1.72,32.65
20170131_1300_2,Woodlawn,LakePark,1,4.1,1.0,23.97
20170131_1300_3,Woodlawn,LakePark,1,4.5,1.4,24.53
20170131_1300_4,Woodlawn,LakePark,1,4.92,1.77,22.47
20170131_1300_5,Woodlawn,LakePark,1,5.28,1.4,20.87
20170131_5424_6,Woodlawn,LakePark,1,5.63,1.27,14.48
20170131_1300_204084,Woodlawn,LakePark,1,5.88,1.38,12.22
20170131_5424_204085,Woodlawn,LakePark,1,6.08,1.8,16.93
20170131_1300_204086,Woodlawn,LakePark,1,6.37,1.83,6.65
20170131_5424_204087,Woodlawn,LakePark,1,6.47,2.35,17.18
20170131_1300_10002780,Woodlawn,LakePark,1,6.77,2.03,13.47
20170131_5424_10002752,Woodlawn,LakePark,1,6.98,1.43,11.03
20170131_1300_10002754,Woodlawn,LakePark,1,7.17,2.07,7.03
20170131_5424_10002755,Woodlawn,LakePark,1,7.28,3.07,20.0
20170131_5424_10002758,Woodlawn,LakePark,1,7.62,2.23,14.77
20170131_1300_10002760,Woodlawn,LakePark,1,7.87,2.33,7.93
20170131_5424_10002761,Woodlawn,LakePark,1,8.0,2.78,9.33
20170131_1300_10002762,Woodlawn,LakePark,1,8.15,1.68,1.57
20170131_5424_10002763,Woodlawn,LakePark,1,8.18,2.0,11.55
20170131_7735_10002779,Woodlawn,LakePark,1,8.37,2.35,4.55
20170131_5424_1063959,Woodlawn,LakePark,1,8.45,2.42,1.02
20170131_7735_1063960,Woodlawn,LakePark,1,8.47,2.85,15.82
20170131_5424_1063961,Woodlawn,LakePark,1,8.73,2.37,11.9
20170131_5424_1083574,Woodlawn,LakePark,1,8.92,2.55,2.07
20170131_5424_1063805,Woodlawn,LakePark,1,8.97,2.07,8.5
20170131_5424_1083556,Woodlawn,LakePark,1,9.1,1.95,10.9
20170131_5424_1083557,Woodlawn,LakePark,1,9.28,3.08,12.73
20170131_5424_1083558,Woodlawn,LakePark,1,9.5,2.35,15.43
20170131_5424_1083559,Woodlawn,LakePark,1,9.75,4.17,7.43
20170131_5424_1083560,Woodlawn,LakePark,1,9.88,1.5,14.65
20170131_5424_1083561,Woodlawn,LakePark,1,10.12,5.75,8.75
20170131_5424_1083562,Woodlawn,LakePark,1,10.27,2.73,12.27
20170131_5424_1083563,Woodlawn,LakePark,1,10.47,2.87,9.83
20170131_5424_1083564,Woodlawn,LakePark,1,10.63,2.35,11.77
20170131_5424_1063816,Woodlawn,LakePark,1,10.83,2.07,15.03
20170131_5424_1063817,Woodlawn,LakePark,1,11.08,3.5,10.85
20170131_5424_1063818,Woodlawn,LakePark,1,11.27,1.77,16.3
20170131_5424_1063819,Woodlawn,LakePark,1,11.53,2.58,10.25
20170131_5424_1063820,Woodlawn,LakePark,1,11.7,2.47,15.68
20170131_5424_1063821,Woodlawn,LakePark,1,11.97,2.12,22.48
20170131_5424_1063823,Woodlawn,LakePark,1,12.33,3.18,16.02
20170131_5424_1063824,Woodlawn,LakePark,1,12.6,2.62,6.68
20170131_5424_1063825,Woodlawn,LakePark,1,12.72,2.3,10.53
20170131_5424_1063826,Woodlawn,LakePark,1,12.9,2.28,15.08
20170131_5424_1063827,Woodlawn,LakePark,1,13.15,2.52,8.38
20170131_5424_1063828,Woodlawn,LakePark,1,13.28,1.47,12.72
20170131_5424_1063829,Woodlawn,LakePark,1,13.5,3.75,13.45
20170131_5424_1063831,Woodlawn,LakePark,1,13.72,1.73,13.27
20170131_5424_1063832,Woodlawn,LakePark,1,13.95,1.4,3.68
20170131_5424_1063833,Woodlawn,LakePark,1,14.0,1.45,14.58
20170131_1298_10004020,Woodlawn,LakePark,1,14.25,3.37,9.2
20170131_5424_10004021,Woodlawn,LakePark,1,14.4,2.23,9.42
20170131_5424_10004022,Woodlawn,LakePark,1,14.55,3.68,6.47
20170131_1298_10004023,Woodlawn,LakePark,1,14.67,1.55,9.57
20170131_5424_10004024,Woodlawn,LakePark,1,14.82,3.65,4.97
20170131_5424_10004025,Woodlawn,LakePark,1,14.9,2.85,7.82
20170131_1298_10004026,Woodlawn,LakePark,1,15.03,2.45,9.9
20170131_5424_10004027,Woodlawn,LakePark,1,15.2,3.12,5.6
20170131_1298_10004028,Woodlawn,LakePark,1,15.3,2.0,8.7
20170131_5424_10004029,Woodlawn,LakePark,1,15.43,3.57,5.23
20170131_1298_10004030,Woodlawn,LakePark,1,15.53,2.7,14.9
20170131_5424_10004031,Woodlawn,LakePark,1,15.78,2.67,9.47
20170131_5424_10004032,Woodlawn,LakePark,1,15.93,2.33,21.28
20170131_5424_10004033,Woodlawn,LakePark,1,16.28,1.82,2.85
20170131_5424_10004034,Woodlawn,LakePark,1,16.33,1.87,0.47
20170131_5424_10004035,Woodlawn,LakePark,1,16.35,1.7,18.4
20170131_5424_10004036,Woodlawn,LakePark,1,16.65,2.5,2.77
20170131_1300_10004037,Woodlawn,LakePark,1,16.7,3.13,8.7
20170131_5424_10004038,Woodlawn,LakePark,1,16.85,2.47,0.63
20170131_1300_10004039,Woodlawn,LakePark,1,16.85,4.6,18.37
20170131_5424_10004040,Woodlawn,LakePark,1,17.17,2.48,6.03
20170131_5424_10004041,Woodlawn,LakePark,1,17.27,2.17,7.43
20170131_1300_10004042,Woodlawn,LakePark,1,17.38,3.03,8.13
20170131_5424_10004043,Woodlawn,LakePark,1,17.52,2.92,16.97
20170131_5424_10004044,Woodlawn,LakePark,1,17.8,3.13,5.9
20170131_1300_1083611,Woodlawn,LakePark,1,17.9,2.73,7.05
20170131_5424_1083612,Woodlawn,LakePark,1,18.02,1.58,7.82
20170131_5424_10004019,Woodlawn,LakePark,1,18.15,2.63,18.7
20170131_5424_1083614,Woodlawn,LakePark,1,18.47,2.87,2.17
20170131_5424_1083615,Woodlawn,LakePark,1,18.5,1.83,13.87
20170131_5424_1083616,Woodlawn,LakePark,1,18.73,2.57,14.03
20170131_5424_204180,Woodlawn,LakePark,1,18.97,1.88,9.8
20170131_5424_204181,Woodlawn,LakePark,1,19.12,2.13,13.8
20170131_5424_204182,Woodlawn,LakePark,1,19.35,1.4,14.47
20170131_5424_204183,Woodlawn,LakePark,1,19.6,2.57,10.1
20170131_5424_204184,Woodlawn,LakePark,1,19.77,1.57,10.8
20170131_5424_204185,Woodlawn,LakePark,1,19.95,2.47,14.5
20170131_5424_204186,Woodlawn,LakePark,1,20.18,2.9,14.07
20170131_5424_204187,Woodlawn,LakePark,1,20.42,2.03,13.32
20170131_5424_204188,Woodlawn,LakePark,1,20.63,1.95,29.52
20170131_5424_204190,Woodlawn,LakePark,1,21.13,3.2,21.63
20170131_5424_204191,Woodlawn,LakePark,1,21.5,0.0,10.5
20170131_5424_204192,Woodlawn,LakePark,1,21.67,2.27,14.4
20170131_5424_204193,Woodlawn,LakePark,1,21.92,1.83,10.43
20170131_5424_204194,Woodlawn,LakePark,1,22.08,1.77,20.73
20170131_5424_204195,Woodlawn,LakePark,1,22.43,2.5,11.9
20170131_5424_204196,Woodlawn,LakePark,1,22.63,1.83,29.42
20170131_5424_204198,Woodlawn,LakePark,1,23.12,2.22,15.32
20170131_5424_204199,Woodlawn,LakePark,1,23.37,1.97,16.95
20170131_5424_204200,Woodlawn,LakePark,1,23.65,1.45,13.63
20170131_5424_204201,Woodlawn,LakePark,1,23.88,2.1,15.65
20170131_5424_204202,Woodlawn,LakePark,1,0.15,1.97,15.53
20170131_5424_204203,Woodlawn,LakePark,1,0.4,1.53,20.42
20170201_5424_204204,Woodlawn,LakePark,1,0.73,1.62,49.35
20170201_5424_204206,Woodlawn,LakePark,1,1.57,2.63,29.8
20170201_5424_204207,Woodlawn,LakePark,1,2.07,1.73,56.87
20170201_1300_204209,Woodlawn,LakePark,2,3.02,1.62,59.57
20170201_1300_2,Woodlawn,LakePark,2,4.0,1.03,33.33
20170201_1300_3,Woodlawn,LakePark,2,4.55,1.47,21.5
20170201_1300_4,Woodlawn,LakePark,2,4.92,2.53,26.07
20170201_1300_5,Woodlawn,LakePark,2,5.35,1.03,14.37
20170201_5424_6,Woodlawn,LakePark,2,5.58,1.23,15.93
20170201_1300_204084,Woodlawn,LakePark,2,5.85,2.1,16.93
20170201_5424_204085,Woodlawn,LakePark,2,6.13,1.77,11.82
20170201_1300_204086,Woodlawn,LakePark,2,6.33,1.62,9.4
20170201_5424_204087,Woodlawn,LakePark,2,6.48,1.48,9.93
20170201_1300_10002780,Woodlawn,LakePark,2,6.65,2.13,21.38
20170201_5424_10002752,Woodlawn,LakePark,2,7.02,1.8,10.57
20170201_1300_10002754,Woodlawn,LakePark,2,7.18,1.97,5.6
20170201_5424_10002755,Woodlawn,LakePark,2,7.28,2.78,14.9
20170201_1300_10002757,Woodlawn,LakePark,2,7.53,2.12,25.53
20170201_1300_10002760,Woodlawn,LakePark,2,7.95,3.33,2.58
20170201_5424_10002761,Woodlawn,LakePark,2,8.0,1.88,8.37
20170201_1300_10002762,Woodlawn,LakePark,2,8.13,2.27,5.72
20170201_5424_10002763,Woodlawn,LakePark,2,8.23,2.98,1.4
20170201_7735_10002779,Woodlawn,LakePark,2,8.25,3.3,8.57
20170201_5424_1063959,Woodlawn,LakePark,2,8.4,3.63,15.93
20170201_5424_1063961,Woodlawn,LakePark,2,8.67,2.53,7.8
20170201_5424_1083574,Woodlawn,LakePark,2,8.8,2.3,13.17
20170201_5424_1063805,Woodlawn,LakePark,2,9.02,2.62,6.8
20170201_5424_1083556,Woodlawn,LakePark,2,9.13,1.93,9.37
20170201_5424_1083557,Woodlawn,LakePark,2,9.28,1.83,14.85
20170201_5424_1083558,Woodlawn,LakePark,2,9.53,2.95,13.23
20170201_5424_1083559,Woodlawn,LakePark,2,9.75,0.0,11.35
20170201_5424_1083560,Woodlawn,LakePark,2,9.93,2.73,10.08
20170201_5424_1083561,Woodlawn,LakePark,2,10.12,2.05,11.27
20170201_5424_1083562,Woodlawn,LakePark,2,10.3,2.75,22.12
20170201_5424_1083564,Woodlawn,LakePark,2,10.67,2.87,12.5
20170201_5424_1063816,Woodlawn,LakePark,2,10.87,1.9,13.52
20170201_5424_1063817,Woodlawn,LakePark,2,11.1,2.45,13.38
20170201_5424_1063818,Woodlawn,LakePark,2,11.32,2.05,12.12
20170201_5424_1063819,Woodlawn,LakePark,2,11.52,3.82,24.3
20170201_5424_1063821,Woodlawn,LakePark,2,11.93,1.82,7.53
20170201_5424_1063822,Woodlawn,LakePark,2,12.05,1.92,19.35
20170201_5424_1063823,Woodlawn,LakePark,2,12.38,3.2,21.33
20170201_5424_1063825,Woodlawn,LakePark,2,12.73,1.85,10.88
20170201_5424_1063826,Woodlawn,LakePark,2,12.92,3.07,13.45
20170201_5424_1063827,Woodlawn,LakePark,2,13.13,1.62,7.57
20170201_5424_1063828,Woodlawn,LakePark,2,13.27,1.22,15.1
20170201_5424_1063829,Woodlawn,LakePark,2,13.52,2.83,22.4
20170201_5424_1063832,Woodlawn,LakePark,2,13.88,2.17,11.08
20170201_5424_1063833,Woodlawn,LakePark,2,14.07,1.82,10.72
20170201_1298_10004020,Woodlawn,LakePark,2,14.25,2.05,12.42
20170201_5424_10004021,Woodlawn,LakePark,2,14.47,2.78,12.72
20170201_1298_10004023,Woodlawn,LakePark,2,14.67,2.53,8.9
20170201_5424_10004024,Woodlawn,LakePark,2,14.82,0.0,6.8
20170201_5424_10004025,Woodlawn,LakePark,2,14.93,2.97,5.33
20170201_1298_10004026,Woodlawn,LakePark,2,15.02,2.2,14.23
20170201_5424_10004027,Woodlawn,LakePark,2,15.27,2.82,1.23
20170201_1298_10004028,Woodlawn,LakePark,2,15.28,3.17,6.77
20170201_5424_10004029,Woodlawn,LakePark,2,15.4,2.5,20.37
20170201_1298_10004030,Woodlawn,LakePark,2,15.73,2.9,3.37
20170201_5424_10004031,Woodlawn,LakePark,2,15.78,2.08,36.1
20170201_5424_10004034,Woodlawn,LakePark,2,16.38,2.55,0.07
20170201_5424_10004035,Woodlawn,LakePark,2,16.38,2.05,2.02
20170201_5424_10004036,Woodlawn,LakePark,2,16.42,2.42,11.28
20170201_1300_10004037,Woodlawn,LakePark,2,16.62,2.23,19.63
20170201_1300_10004039,Woodlawn,LakePark,2,16.93,1.78,8.07
20170201_5424_10004040,Woodlawn,LakePark,2,17.07,3.37,13.32
20170201_5424_10004041,Woodlawn,LakePark,2,17.3,2.65,9.05
20170201_1300_10004042,Woodlawn,LakePark,2,17.45,3.0,6.1
20170201_5424_10004043,Woodlawn,LakePark,2,17.55,2.58,10.1
20170201_5424_10004044,Woodlawn,LakePark,2,17.72,2.78,17.93
20170201_1300_1083611,Woodlawn,LakePark,2,18.02,3.27,3.45
20170201_5424_1083612,Woodlawn,LakePark,2,18.07,2.38,15.33
20170201_5424_1083614,Woodlawn,LakePark,2,18.33,2.18,14.63
20170201_5424_1083615,Woodlawn,LakePark,2,18.57,2.43,8.75
20170201_5424_1083616,Woodlawn,LakePark,2,18.72,1.38,37.77
20170201_5424_204182,Woodlawn,LakePark,2,19.35,1.7,10.17
20170201_5424_204183,Woodlawn,LakePark,2,19.52,2.32,12.0
20170201_5424_204184,Woodlawn,LakePark,2,19.72,1.43,10.25
20170201_5424_204185,Woodlawn,LakePark,2,19.88,1.58,18.68
20170201_5424_204186,Woodlawn,LakePark,2,20.2,1.97,18.0
20170201_5424_204187,Woodlawn,LakePark,2,20.5,2.33,6.85
20170201_5424_204188,Woodlawn,LakePark,2,20.62,1.18,27.28
20170201_5424_204189,Woodlawn,LakePark,2,21.07,1.73,4.2
20170201_5424_204190,Woodlawn,LakePark,2,21.13,1.37,18.23
20170201_5424_204191,Woodlawn,LakePark,2,21.45,2.0,14.22
20170201_5424_204192,Woodlawn,LakePark,2,21.68,2.13,13.27
20170201_5424_204193,Woodlawn,LakePark,2,21.9,1.58,12.37
20170201_5424_204194,Woodlawn,LakePark,2,22.1,1.08,26.62
20170201_5424_204195,Woodlawn,LakePark,2,22.55,2.58,2.4
20170201_5424_204196,Woodlawn,LakePark,2,22.58,2.37,17.85
20170201_5424_204197,Woodlawn,LakePark,2,22.88,1.78,13.62
20170201_5424_204198,Woodlawn,LakePark,2,23.12,2.57,10.13
20170201_5424_204199,Woodlawn,LakePark,2,23.28,2.88,19.93
20170201_5424_204200,Woodlawn,LakePark,2,23.62,2.07,14.48
20170201_5424_204201,Woodlawn,LakePark,2,23.85,1.75,21.32
20170201_5424_204202,Woodlawn,LakePark,2,0.22,1.7,10.83
20170201_5424_204203,Woodlawn,LakePark,2,0.4,1.62,21.23
20170202_5424_204204,Woodlawn,LakePark,2,0.75,2.1,19.62
20170202_5424_204205,Woodlawn,LakePark,2,1.07,1.92,29.95
20170202_5424_204206,Woodlawn,LakePark,2,1.57,1.2,27.53
20170202_5424_204207,Woodlawn,LakePark,2,2.03,2.63,34.95
20170202_5424_204208,Woodlawn,LakePark,2,2.62,1.85,25.12
20170202_1300_204209,Woodlawn,LakePark,3,3.03,1.7,37.17
20170202_1300_1,Woodlawn,LakePark,3,3.65,1.75,19.8
20170202_1300_2,Woodlawn,LakePark,3,3.98,1.53,32.93
20170202_1300_3,Woodlawn,LakePark,3,4.53,1.68,23.47
20170202_1300_4,Woodlawn,LakePark,3,4.92,2.47,20.55
20170202_1300_5,Woodlawn,LakePark,3,5.27,1.55,21.05
20170202_5424_6,Woodlawn,LakePark,3,5.62,1.2,41.73
20170202_1300_204086,Woodlawn,LakePark,3,6.32,1.83,10.13
20170202_5424_204087,Woodlawn,LakePark,3,6.48,1.72,14.07
20170202_1300_10002780,Woodlawn,LakePark,3,6.72,2.4,10.97
20170202_5424_10002752,Woodlawn,LakePark,3,6.9,2.0,20.12
20170202_1300_10002754,Woodlawn,LakePark,3,7.23,2.48,2.35
20170202_5424_10002755,Woodlawn,LakePark,3,7.27,2.83,15.5
20170202_1300_10002757,Woodlawn,LakePark,3,7.53,2.13,7.28
20170202_5424_10002758,Woodlawn,LakePark,3,7.65,3.37,17.28
20170202_5424_10002761,Woodlawn,LakePark,3,7.93,2.72,8.63
20170202_1300_10002762,Woodlawn,LakePark,3,8.08,2.92,11.8
20170202_7735_10002779,Woodlawn,LakePark,3,8.28,2.0,2.07
20170202_5424_1063959,Woodlawn,LakePark,3,8.32,2.8,11.1
20170202_7735_1063960,Woodlawn,LakePark,3,8.5,2.7,9.17
20170202_5424_1063961,Woodlawn,LakePark,3,8.65,2.33,8.22
20170202_5424_1083574,Woodlawn,LakePark,3,8.78,1.82,9.05
20170202_5424_1063805,Woodlawn,LakePark,3,8.93,2.4,11.03
20170202_5424_1083556,Woodlawn,LakePark,3,9.12,2.33,8.4
20170202_5424_1083557,Woodlawn,LakePark,3,9.27,1.67,16.97
20170202_5424_1083558,Woodlawn,LakePark,3,9.55,2.15,15.57
20170202_5424_1083559,Woodlawn,LakePark,3,9.8,2.77,20.6
20170202_5424_1083561,Woodlawn,LakePark,3,10.15,2.25,7.95
20170202_5424_1083562,Woodlawn,LakePark,3,10.28,2.95,14.43
20170202_5424_1083563,Woodlawn,LakePark,3,10.52,3.62,8.45
20170202_5424_1083564,Woodlawn,LakePark,3,10.67,1.93,7.83
20170202_5424_1063816,Woodlawn,LakePark,3,10.8,1.93,22.43
20170202_5424_1063817,Woodlawn,LakePark,3,11.17,1.92,2.27
20170202_5424_1063818,Woodlawn,LakePark,3,11.2,1.67,20.7
20170202_5424_1063819,Woodlawn,LakePark,3,11.55,2.63,10.83
20170202_5424_1063820,Woodlawn,LakePark,3,11.73,2.68,23.73
20170202_5424_1063822,Woodlawn,LakePark,3,12.13,3.2,7.28
20170202_5424_1063823,Woodlawn,LakePark,3,12.25,2.12,15.45
20170202_5424_1063824,Woodlawn,LakePark,3,12.5,2.1,17.22
20170202_5424_1063825,Woodlawn,LakePark,3,12.8,1.75,11.6
20170202_5424_1063826,Woodlawn,LakePark,3,12.98,2.25,6.32
20170202_5424_1063827,Woodlawn,LakePark,3,13.1,2.93,13.25
20170202_5424_1063828,Woodlawn,LakePark,3,13.32,2.52,14.12
20170202_5424_1063829,Woodlawn,LakePark,3,13.55,2.5,14.8
20170202_5424_1063831,Woodlawn,LakePark,3,13.8,3.02,14.28
20170202_5424_1063833,Woodlawn,LakePark,3,14.03,2.98,11.42
20170202_1298_10004020,Woodlawn,LakePark,3,14.22,2.38,13.6
20170202_5424_10004021,Woodlawn,LakePark,3,14.45,1.78,4.07
20170202_5424_10004022,Woodlawn,LakePark,3,14.52,2.87,5.88
20170202_1298_10004023,Woodlawn,LakePark,3,14.62,2.15,11.12
20170202_5424_10004024,Woodlawn,LakePark,3,14.8,1.88,14.3
20170202_1298_10004026,Woodlawn,LakePark,3,15.03,2.23,1.35
20170202_5424_10004025,Woodlawn,LakePark,3,15.07,2.62,8.73
20170202_5424_10004027,Woodlawn,LakePark,3,15.2,2.82,5.93
20170202_1298_10004028,Woodlawn,LakePark,3,15.3,1.78,9.78
20170202_5424_10004029,Woodlawn,LakePark,3,15.47,2.87,2.67
20170202_1298_10004030,Woodlawn,LakePark,3,15.52,2.77,15.67
20170202_5424_10004031,Woodlawn,LakePark,3,15.77,2.08,18.42
20170202_5424_10004032,Woodlawn,LakePark,3,16.08,2.33,19.38
20170202_5424_10004034,Woodlawn,LakePark,3,16.4,0.0,0.23
20170202_5424_10004035,Woodlawn,LakePark,3,16.42,0.0,6.43
20170202_5424_10004036,Woodlawn,LakePark,3,16.52,2.57,7.43
20170202_1300_10004037,Woodlawn,LakePark,3,16.63,1.87,20.0
20170202_5424_10004038,Woodlawn,LakePark,3,16.97,2.88,0.33
20170202_1300_10004039,Woodlawn,LakePark,3,16.98,1.37,6.83
20170202_5424_10004040,Woodlawn,LakePark,3,17.1,2.42,18.77
20170202_5424_10004041,Woodlawn,LakePark,3,17.4,2.8,0.67
20170202_1300_10004042,Woodlawn,LakePark,3,17.42,2.45,13.57
20170202_5424_10004043,Woodlawn,LakePark,3,17.65,2.45,6.15
20170202_5424_10004044,Woodlawn,LakePark,3,17.75,0.0,12.95
20170202_1300_1083611,Woodlawn,LakePark,3,17.97,3.37,0.63
20170202_5424_1083612,Woodlawn,LakePark,3,17.97,2.0,22.55
20170202_5424_1083614,Woodlawn,LakePark,3,18.35,2.15,12.87
20170202_5424_1083615,Woodlawn,LakePark,3,18.57,3.27,11.32
20170202_5424_1083616,Woodlawn,LakePark,3,18.75,2.18,19.73
20170202_5424_204180,Woodlawn,LakePark,3,19.08,3.03,20.78
20170202_5424_204181,Woodlawn,LakePark,3,19.43,2.42,8.32
20170202_5424_204183,Woodlawn,LakePark,3,19.57,1.9,7.42
20170202_5424_204184,Woodlawn,LakePark,3,19.68,2.77,14.02
20170202_5424_204185,Woodlawn,LakePark,3,19.92,1.48,22.52
20170202_5424_204186,Woodlawn,LakePark,3,20.3,2.43,8.45
20170202_5424_204187,Woodlawn,LakePark,3,20.43,1.75,14.78
20170202_5424_204188,Woodlawn,LakePark,3,20.68,1.88,11.95
20170202_5424_204189,Woodlawn,LakePark,3,20.88,2.03,15.57
20170202_5424_204190,Woodlawn,LakePark,3,21.15,3.33,13.33
20170202_5424_204191,Woodlawn,LakePark,3,21.37,2.02,18.88
20170202_5424_204192,Woodlawn,LakePark,3,21.68,3.02,15.2
20170202_5424_204193,Woodlawn,LakePark,3,21.93,1.83,12.27
20170202_5424_204194,Woodlawn,LakePark,3,22.13,1.85,16.75
20170202_5424_204195,Woodlawn,LakePark,3,22.42,2.2,10.33
20170202_5424_204196,Woodlawn,LakePark,3,22.58,1.63,32.53
20170202_5424_204198,Woodlawn,LakePark,3,23.13,2.07,12.67
20170202_5424_204199,Woodlawn,LakePark,3,23.35,2.83,20.17
20170202_5424_204200,Woodlawn,LakePark,3,23.68,2.15,9.75
20170202_5424_204201,Woodlawn,LakePark,3,23.83,1.3,21.08
20170202_5424_204202,Woodlawn,LakePark,3,0.2,1.9,14.52
20170202_5424_204203,Woodlawn,LakePark,3,0.43,1.38,16.9
20170203_5424_204204,Woodlawn,LakePark,3,0.72,1.38,23.08
20170203_5424_204205,Woodlawn,LakePark,3,1.1,1.65,26.52
20170203_5424_204206,Woodlawn,LakePark,3,1.55,0.95,29.58
20170203_5424_204207,Woodlawn,LakePark,3,2.03,2.82,35.33
20170203_5424_204208,Woodlawn,LakePark,3,2.62,2.0,23.95
20170203_1300_204209,Woodlawn,LakePark,4,3.02,1.55,35.87
20170203_1300_1,Woodlawn,LakePark,4,3.62,2.12,25.07
20170203_1300_2,Woodlawn,LakePark,4,4.03,1.15,33.02
20170203_1300_3,Woodlawn,LakePark,4,4.58,1.7,19.82
20170203_1300_4,Woodlawn,LakePark,4,4.92,2.12,21.62
20170203_1300_5,Woodlawn,LakePark,4,5.28,1.35,19.53
20170203_5424_6,Woodlawn,LakePark,4,5.6,0.77,16.57
20170203_1300_204084,Woodlawn,LakePark,4,5.88,2.3,11.18
20170203_5424_204085,Woodlawn,LakePark,4,6.07,2.02,13.9
20170203_1300_204086,Woodlawn,LakePark,4,6.3,1.85,12.82
20170203_5424_204087,Woodlawn,LakePark,4,6.52,1.43,12.47
20170203_1300_10002780,Woodlawn,LakePark,4,6.72,1.93,9.17
20170203_5424_10002752,Woodlawn,LakePark,4,6.87,1.77,17.07
20170203_1300_10002754,Woodlawn,LakePark,4,7.15,3.12,6.4
20170203_5424_10002755,Woodlawn,LakePark,4,7.27,2.05,16.0
20170203_1300_10002757,Woodlawn,LakePark,4,7.53,2.7,5.62
20170203_5424_10002758,Woodlawn,LakePark,4,7.62,3.13,13.92
20170203_1300_10002760,Woodlawn,LakePark,4,7.85,2.68,5.73
20170203_5424_10002761,Woodlawn,LakePark,4,7.95,2.32,4.2
20170203_1300_10002762,Woodlawn,LakePark,4,8.02,1.58,5.87
20170203_5424_10002763,Woodlawn,LakePark,4,8.12,1.83,8.67
20170203_7735_10002779,Woodlawn,LakePark,4,8.27,2.43,0.97
20170203_5424_1063959,Woodlawn,LakePark,4,8.28,2.93,10.13
20170203_7735_1063960,Woodlawn,LakePark,4,8.45,3.4,8.9
20170203_5424_1063961,Woodlawn,LakePark,4,8.6,2.1,9.28
20170203_5424_1083574,Woodlawn,LakePark,4,8.75,3.08,11.62
20170203_5424_1063805,Woodlawn,LakePark,4,8.95,2.8,10.07
20170203_5424_1083556,Woodlawn,LakePark,4,9.12,1.62,7.67
20170203_5424_1083557,Woodlawn,LakePark,4,9.25,2.93,13.9
20170203_5424_1083558,Woodlawn,LakePark,4,9.47,2.38,15.27
20170203_5424_1083559,Woodlawn,LakePark,4,9.73,2.45,10.57
20170203_5424_1083560,Woodlawn,LakePark,4,9.9,3.12,9.25
20170203_5424_1083561,Woodlawn,LakePark,4,10.05,2.98,15.82
20170203_5424_1083562,Woodlawn,LakePark,4,10.32,2.5,7.47
20170203_5424_1083563,Woodlawn,LakePark,4,10.45,2.43,11.55
20170203_5424_1083564,Woodlawn,LakePark,4,10.63,1.97,15.55
20170203_5424_1063818,Woodlawn,LakePark,4,11.28,2.0,9.93
20170203_5424_1063819,Woodlawn,LakePark,4,11.45,2.68,15.97
20170203_5424_1063820,Woodlawn,LakePark,4,11.72,2.17,9.73
20170203_5424_1063821,Woodlawn,LakePark,4,11.88,2.25,14.28
20170203_5424_1063822,Woodlawn,LakePark,4,12.12,2.45,16.33
20170203_5424_1063823,Woodlawn,LakePark,4,12.38,3.58,7.52
20170203_5424_1063824,Woodlawn,LakePark,4,12.52,2.02,20.53
20170203_5424_1063825,Woodlawn,LakePark,4,12.87,3.23,9.27
20170203_5424_1063826,Woodlawn,LakePark,4,13.02,3.1,5.5
20170203_5424_1063827,Woodlawn,LakePark,4,13.1,2.0,12.78
